inventor_id,name,country,patent_id
fl:ti_ln:jrgensen-2,Tino Dyhring Jørgensen,,6969729
fl:na_ln:kim-43,Nam Gyu Kim,,12332513
fl:to_ln:nishimoto-3,Tomohisa Nishimoto,,8669318
fl:jo_ln:carter-28,John L. Carter,,4726023
fl:pe_ln:tu-11,Peter Tu,,9968169
fl:ha_ln:takeda-7,Haruo Takeda,,4853921
fl:ch_ln:shimizu-8,Chiyuki Shimizu,,5093389
fl:fr_ln:coms-1,Frank D. Coms,,5447819
fl:tu_ln:le-27,Tuan D. Le,,7865010
fl:ya_ln:lai-18,Ya-Chieh Lai,,9053259
fl:ge_ln:davis-46,George Davis,,5653654
fl:sh_ln:yokoyama-2,Shigeyuki Yokoyama,,7045593
fl:h._ln:morgan-1,H. William Morgan,,7955407
fl:li_ln:gardner-3,Linda S. Gardner,,5870325
fl:hi_ln:yamaguchi-20,Hideaki Yamaguchi,,4935475
fl:pe_ln:huse-1,Per Huse,,4407087
fl:yu_ln:takita-5,Yutaka Takita,,10090923
fl:ja_ln:staron-3,James A. Staron,,5422494
fl:ch_ln:chen-208,Chieh-Fang Chen,,8059449
fl:th_ln:young-20,Thomas Young,,7756674
fl:al_ln:bourdais-1,Aline Bourdais,,10883384
fl:pa_ln:thayer-6,Paul R. Thayer,,6381624
fl:gu_ln:sandhu-15,Gurtej S. Sandhu,,8411477
fl:ru_ln:seiber-2,Russell A. Seiber,,11950784
fl:ni_ln:chavoshi-1,Nikan Chavoshi,,11989657
fl:je_ln:canady-1,Jerome Canady,,11793968
fl:ga_ln:elder-1,Garry Elder,,7408326
fl:mi_ln:son-34,Min Su SON,,12450181
fl:th_ln:strasserkrauss-1,Thomas Strasser-Krauss,,12374708
fl:jo_ln:tuttle-6,John R. Tuttle,,7944356
fl:te_ln:tanimoto-5,Tetsurou Tanimoto,,4993763
fl:ed_ln:peire-1,Eduardo Peire,,12414845
fl:je_ln:choi-156,Jeong Choi,,7598930
fl:ha_ln:sakaguchi-1,Haruo Sakaguchi,,4490020
fl:sh_ln:iwahara-1,Shojiro Iwahara,,5985637
fl:yo_ln:ogawa-15,Yoshihiko Ogawa,,7995614
fl:ya_ln:ma-108,Yanzhuo Ma,,11831882
fl:ch_ln:hayashi-10,Chihiro Hayashi,,8728360
fl:lu_ln:pavesi-1,Luciana Pavesi,,4824841
fl:yu_ln:fujiwara-9,Yuji Fujiwara,,8859877
fl:er_ln:stern-6,Erica Stern,,D250736
fl:ku_ln:yamamoto-12,Kunitoshi YAMAMOTO,,11279031
fl:me_ln:beveridge-1,Meredith Beveridge,,11482092
fl:ch_ln:garg-4,Chaya Garg,,12165639
fl:ro_ln:seymour-10,Robert John Seymour,,3941478
fl:ti_ln:carle-1,Tiffany CARLE,,12233151
fl:ti_ln:buck-1,Timothy Merrill Buck,,9672880
fl:pi_ln:li-38,Pingshan Li,,10242288
fl:vo_ln:aue-1,Volker Aue,,8134071
fl:ja_ln:young-29,James A. Young,,10306307
fl:hi_ln:matsuura-26,Hideki Matsuura,,6731852
fl:ch_ln:su-187,Cheng-Wei Su,,D959520
fl:ma_ln:weiss-22,Matthias WEISS,,11154058
fl:to_ln:ochiai-8,Toru Ochiai,,6897980
fl:ch_ln:huang-466,Chien-Hsun Huang,,6786770
fl:mu_ln:meetze-1,"Murray O. Meetze, Jr.",,5152514
fl:jo_ln:masterson-8,Joseph Masterson,,10627976
0012xd77vu26r5ij34ouqupie,William Tanasychuk,,5133378
fl:ro_ln:hanson-17,Robert L. Hanson,,4740337
fl:ja_ln:mcnamara-1,Jason McNamara,,10299811
fl:qi_ln:wang-271,Qingping Wang,,7078194
fl:ph_ln:bennett-2,Phillip D. Bennett,,4399203
fl:da_ln:verheyden-2,Danny Willy August Verheyden,,10061091
fl:do_ln:attanasio-1,Dominique Attanasio,,9279277
fl:vi_ln:mercier-1,Virginie Mercier,,8115228
fl:se_ln:hong-163,Seung D. Hong,,10335768
fl:th_ln:benvegnu-1,Thierry Benvegnu,,9956154
fl:pe_ln:nelson-8,Peter H. Nelson,,4808592
fl:be_ln:ziegler-5,Bernd Ziegler,,5738801
fl:gi_ln:spadini-2,Gianpaolo Spadini,,8462537
fl:ru_ln:xie-13,Ruilong Xie,,12211848
fl:fa_ln:pucci-1,Fabrizio Pucci,,9096359
fl:jo_ln:baker-24,John Maxwell Baker,,D685938
fl:ch_ln:stich-2,Christian M. Stich,,8527980
fl:te_ln:desaulniers-1,Ted Desaulniers,,6505557
fl:kh_ln:bataineh-1,Khaldoun Bataineh,,7742553
fl:da_ln:anderson-91,David M. Anderson,,6142975
fl:ke_ln:wilkes-1,Kevin Wood Wilkes,,10267185
fl:yu_ln:lee-176,Yuan Xing Lee,,8031420
fl:ja_ln:sabde-1,Jagdish Sabde,,10032524
fl:to_ln:kosuda-1,Tooru Kosuda,,4347812
fl:tr_ln:hurd-3,Trace Hurd,,6787425
fl:di_ln:offenberg-1,Dirk Offenberg,,10237534
fl:sv_ln:lamprecht-1,Sven Lamprecht,,9680042
fl:ta_ln:ohnuki-6,Tatsuya Ohnuki,,9263451
fl:ry_ln:terry-1,Rylan J. Terry,,11840772
fl:ju_ln:reingen-1,Jürgen Reingen,,9879726
fl:ka_ln:hehle-1,Karl Mathias Hehle,,9944308
fl:ka_ln:shimomura-10,Kazuya Shimomura,,9329372
fl:ky_ln:ford-4,Kyle Ford,,11926708
fl:ch_ln:tarapata-2,Chris Tarapata,,7658765
fl:hi_ln:egilmez-1,Hilmi Enes Egilmez,,11284075
fl:ph_ln:pagnier-1,Philippe PAGNIER,,12151994
fl:ma_ln:kuhl-6,Marcus L. Kuhl,,11396231
fl:mi_ln:james-22,Michael James,,11494772
fl:mi_ln:wiseman-3,Michael A. Wiseman,,8393645
fl:to_ln:nishihara-5,Tokihiro Nishihara,,11482662
fl:da_ln:poirier-4,Dave Poirier,,D617687
fl:ri_ln:crisp-2,Richard Dewitt Crisp,,9158352
fl:vl_ln:iltchenko-1,Vladimir Iltchenko,,6389197
fl:ja_ln:hanlon-8,James G. Hanlon,,6150163
fl:th_ln:kimble-1,Thomas E. Kimble,,D254137
fl:ja_ln:bryzek-2,Janusz Bryzek,,11039814
